"","p.val","corr.coef","Symbol","p.adjust"
"1","4.75098865028097e-07",0.994242414260868,"Mettl7b",0.000626647181289402
"2","6.01808020700106e-07",0.993769591569243,"Fmo5",0.000626647181289402
"3","8.02022842947187e-07",0.993142575944942,"Abhd6",0.000626647181289402
"4","1.38001010736781e-06",0.991779948855836,"Arg1",0.000808685922917537
"5","3.03993144567194e-06",0.989297824160426,"Ass1",0.00142511986173101
"6","4.65764052210794e-06",0.987657067940838,"Ftcd",0.0017344528609617
"7","5.33770271936e-06",0.98708154507098,"Acsl1",0.0017344528609617
"8","6.58399090835104e-06",0.986142294994229,"Ugt2b34",0.0017344528609617
"9","6.65958862997239e-06",0.986089273119824,"Asl",0.0017344528609617
"10","9.8336055829268e-06",0.984151685181628,"Ugt2b35",0.00230499714863804
"11","1.14027113947157e-05",0.983346605032681,"Gulo",0.0024027034306568
"12","1.23005295084819e-05",0.982918680700614,"Pdhb",0.0024027034306568
"13","1.36279211050523e-05",0.982322460817305,"Cps1",0.00245721900540328
"14","1.59839190848148e-05",0.981352856670432,"Aldob",0.002483231999621
"15","1.61701443023069e-05",0.981280376720835,"Cyp2c68",0.002483231999621
"16","1.70904951265896e-05",0.980930075475309,"Cyp2c50",0.002483231999621
"17","1.80097883931557e-05",0.980592458031179,"Ugt1a1",0.002483231999621
"18","2.05266920294115e-05",0.979723062026318,"Cyp1a2",0.00256580874745422
"19","2.07979377993303e-05",0.979633679073409,"Dhrs1",0.00256580874745422
"20","2.71991715623012e-05",0.977717323973362,"Fmo1",0.00315580735458964
"21","2.82730181085249e-05",0.977426198448698,"Hmgcl",0.00315580735458964
"22","3.04692168465718e-05",0.976852869523043,"Acaa1a",0.00324635655856201
"23","3.46241071695202e-05",0.975839055074807,"Gstm2",0.00339969097860632
"24","3.48091226478463e-05",0.975795832698343,"Pon1",0.00339969097860632
"25","4.20664557235553e-05",0.974208399004484,"Gpd1",0.00362772242142093
"26","4.2776928859882e-05",0.974063057124393,"Cyp4a12b",0.00362772242142093
"27","4.30100294480127e-05",0.974015720146984,"Gpd2",0.00362772242142093
"28","4.33345681739702e-05",0.973950096439138,"Glul",0.00362772242142093
"29","4.78618756558749e-05",0.973066797276757,"Por",0.00374403255491
"30","5.11381390499771e-05",0.972461554981993,"Rgn",0.00374403255491
"31","5.17714939019663e-05",0.972347535739843,"Cyp4a12a",0.00374403255491
"32","5.27804972090618e-05",0.972167782645367,"Cyb5a",0.00374403255491
"33","5.39953217266272e-05",0.971954355333882,"Creg1",0.00374403255491
"34","5.43076394483533e-05",0.97190000010485,"Cfl1",0.00374403255491
"35","5.6241778548379e-05",0.97156791070617,"Cyp2e1",0.00376659225478287
"36","5.91388279392142e-05",0.971084345227325,"Acaa1b",0.00385059479693106
"37","6.89372990635166e-05",0.9695565053543,"Oat",0.00418357404078566
"38","7.065229838618e-05",0.969304158626308,"Abcb4",0.00418357404078566
"39","7.11698889293443e-05",0.969228796835825,"Gstm3",0.00418357404078566
"40","7.31188520473402e-05",0.968948234508433,"Rab1b",0.00418357404078566
"41","7.35836174374075e-05",0.96888206152035,"Cyp2c29",0.00418357404078566
"42","7.62396094622391e-05",0.968509109997734,"Cyp2d26",0.00418357404078566
"43","7.67464521133889e-05",0.968438920034855,"Prodh",0.00418357404078566
"44","8.63841770599997e-05",0.967158898705494,"Slc22a1",0.00460192070519635
"45","0.000103644577923547",0.965084648655729,"Cyp3a11",0.00539873090339543
"46","0.000111106097143246",0.964258647024024,"Ugt3a2",0.00563265658854434
"47","0.000112941493029686",0.964061116180358,"Cmas",0.00563265658854434
"48","0.000125599015753217",0.962753456809596,"Slc38a3",0.00613341860261543
"49","0.000146823199318894",0.960743646258604,"Gstt3",0.00697483780136862
"50","0.000148780669824416",0.960568204951214,"Pdha1",0.00697483780136862
"51","0.000153729379186529",0.96013135897498,"Hsd17b4",0.00706552283947498
"52","0.000157982402862239",0.959763279378352,"Hsd17b12",0.00712136062132862
"53","0.000168884190868355",0.958848714891163,"Acot4",0.0072720275391696
"54","0.000169851748224139",0.958769448669075,"Cmbl",0.0072720275391696
"55","0.000172217365703786",0.95857689383841,"Aldh1a1",0.0072720275391696
"56","0.000173734446328284",0.95845432400759,"Abcd3",0.0072720275391696
"57","0.000195158859942151",0.956794114770007,"Gstm6",0.00802548013516495
"58","0.000208067944661935",0.955851172387707,"Keg1",0.00840881486702717
"59","0.000258623316390335",0.952490828244635,"Dlat",0.00999954517715553
"60","0.000262287316153722",0.952264777030131,"Cd81",0.00999954517715553
"61","0.000264600234213709",0.952123149631918,"Cyp2d10",0.00999954517715553
"62","0.000268023124170235",0.951915042923823,"Me1",0.00999954517715553
"63","0.00026875910672389",0.951870525107484,"Hsd11b1",0.00999954517715553
"64","0.000282326214296536",0.95106387758739,"Acot2",0.0100431751110119
"65","0.000282535332121119",0.951051646026784,"Faah",0.0100431751110119
"66","0.000282785647323714",0.951037012612487,"Akr1c14",0.0100431751110119
"67","0.000294633137494785",0.950353940815263,"Fth1",0.0103077623028026
"68","0.000310434205723225",0.949470492150085,"Idh2",0.0106162944941472
"69","0.0003159483895751",0.949169166236623,"Slc27a2",0.0106162944941472
"70","0.000317039511343987",0.949109952046742,"Acat1",0.0106162944941472
"71","0.000330110814499532",0.948410782208591,"Gnmt",0.0108983063265761
"72","0.000348639597963773",0.94745022995649,"Reep6",0.0112658436649494
"73","0.000355498460837742",0.947103182359103,"Tmem205",0.0112658436649494
"74","0.00035566230000267",0.947094946410067,"Hacl1",0.0112658436649494
"75","0.000397021018907735",0.945090923118069,"Ehhadh",0.0122822112022345
"76","0.000398228690857434",0.945034514413313,"Slc29a1",0.0122822112022345
"77","0.000410715832341191",0.944457738687781,"Fbp1",0.0125028300130877
"78","0.000420508566225827",0.944013426189746,"Rrbp1",0.0126368215286325
"79","0.00050105742846888",0.940593532761319,"Rdh9",0.0148668178776083
"80","0.00052011111722493",0.939838264566892,"Agpat2",0.0152392557346905
"81","0.000532799296354115",0.939345336603005,"Cyp2c37",0.0154182907488154
"82","0.000559587079168149",0.938329388343509,"Mgst1",0.0158136370512214
"83","0.000559953871694274",0.938315701156023,"Amdhd1",0.0158136370512214
"84","0.000593073636347442",0.937103281632493,"Akr1a1",0.0163534289464361
"85","0.000599540817299985",0.936871752053176,"Tdo2",0.0163534289464361
"86","0.000599997819707125",0.936855453106352,"Cyp2c40",0.0163534289464361
"87","0.000612422588368793",0.936415408400291,"Ugt2b1",0.0165002131854764
"88","0.000622942783053622",0.936047370086228,"Cyb5b",0.0165929304940647
"89","0.000630969921920542",0.93576927962528,"Aass",0.0166179044604691
"90","0.000645999676532224",0.935254763081255,"Hsd17b11",0.0168247026865726
"91","0.000667778374256547",0.934522943642853,"Blvrb",0.0170398321494755
"92","0.000668798872760982",0.934489038327854,"Atl3",0.0170398321494755
"93","0.000700686241964564",0.933446246543207,"Pon3",0.0176603070017735
"94","0.000737636152864668",0.93227606404136,"Gstm4",0.018265452587475
"95","0.000751090431620027",0.931859519171064,"Rmdn2",0.018265452587475
"96","0.000753132660292045",0.931796719762217,"Uroc1",0.018265452587475
"97","0.00075993936702866",0.931588211969834,"Abcc3",0.018265452587475
"98","0.000763658000670884",0.93147481616404,"Uox",0.018265452587475
"99","0.000780907028961042",0.930953498333668,"Got1",0.0183620179129899
"100","0.000783362538950081",0.930879900139005,"Cs",0.0183620179129899
"101","0.000805292432633171",0.93022920017372,"Ephx1",0.0186891629910114
"102","0.000824441634914573",0.929670425374297,"Slc25a10",0.018945992080782
"103","0.00087839768464945",0.928140293045912,"Gdi2",0.01988151617381
"104","0.000882115052080305",0.9280371627699,"Decr2",0.01988151617381
"105","0.000919463862614748",0.92701642636276,"Ugt2a3",0.0205259361330378
"106","0.000987311427878529",0.925229413834343,"Pir",0.0217076188498161
"107","0.000990919461147749",0.925136661463711,"Otc",0.0217076188498161
"108","0.00108668984854256",0.922751333472511,"Aldh2",0.0235851944905904
"109","0.00111098293149041",0.92216827605504,"Cth",0.0238912292790231
"110","0.00113680664376237",0.921557536246095,"Bdh1",0.0242243161179909
"111","0.00114765160426921",0.921303748553683,"Rdh7",0.0242350933370003
"112","0.0011847188909324",0.920447954451764,"Idh1",0.0247944739316567
"113","0.00122948022794881",0.919437495189208,"Cyp2c54",0.0254474588031441
"114","0.00124306760913661",0.919135526301968,"Pgrmc1",0.0254474588031441
"115","0.00125844879284352",0.918796277877421,"Ugt2b36",0.0254474588031441
"116","0.0012637123595868",0.918680805534106,"Hdlbp",0.0254474588031441
"117","0.00127020165527639",0.918538873947452,"Ces2c",0.0254474588031441
"118","0.00135202516582133",0.916788481442172,"Acly",0.0268106470858964
"119","0.00137109909369856",0.91639043102113,"Aqp9",0.0268106470858964
"120","0.00138355595734771",0.916132415109908,"Cyp7a1",0.0268106470858964
"121","0.00138399671390506",0.91612331360655,"Ugt1a6b",0.0268106470858964
"122","0.00140959215639421",0.915597981385202,"Akr1c6",0.0270826558572789
"123","0.00145823666542311",0.914616457531121,"Ces3a",0.0277894857215591
"124","0.00153031810149415",0.913200497477349,"Cryz",0.0289279486282443
"125","0.00155121120756131",0.912798219236406,"Eci1",0.0290883125641897
"126","0.00158837289960717",0.9120913316788,"Agxt2",0.0294036261364459
"127","0.00159311455602757",0.912001913302238,"Cyp2c67",0.0294036261364459
"128","0.00175552835704277",0.909038209825837,"Ces2e",0.0321481130383457
"129","0.00187459415152579",0.9069770707424,"Cyp2d9",0.0338003745475112
"130","0.00191465639194752",0.906302740685751,"Pex11g",0.034259195287977
"131","0.00209770056221229",0.903333065904075,"Slco1a1",0.0369700008859068
"132","0.0021312714492563",0.902806885663566,"Cyp4a14",0.0372813453511699
"133","0.00217205624895652",0.902174823211609,"Hsp90b1",0.0377133322041043
"134","0.00219314441449869",0.901851026303076,"Gstt1",0.0377994890263598
"135","0.00225672289769479",0.900886873140283,"Lrrc59",0.0386113757094641
"136","0.00240305724874779",0.898732795683934,"Mpc2",0.0408171463120639
"137","0.00262999312447366",0.895554373752807,"Myl6",0.0443503876529947
"138","0.00292679195143334",0.891654960333787,"Slco1b2",0.0490028595297125
"139","0.00304257054243578",0.890203336420265,"Lpcat3",0.0505800379536842
"140","0.00312470986000055",0.889195002032804,"Abcg2",0.0515797176890232
"141","0.00317519107542134",0.888583773590347,"Fasn",0.0520464886768365
"142","0.0032491991556866",0.887698927004998,"Atp1b1",0.0528897418120097
"143","0.00338109188729757",0.886153738100049,"Taco1",0.0546570991987966
"144","0.00343245212937815",0.885562561563356,"Cyp27a1",0.0549176763496831
"145","0.00344406929326084",0.88542963647277,"Slc25a21",0.0549176763496831
"146","0.00350100258933131",0.884782347994323,"Aldh1l1",0.0554483112796797
"147","0.00353238977463454",0.884428400514412,"Cyp4f14",0.0555699438372038
"148","0.00365609397810033",0.883052835488065,"Pdhx",0.0571325618977812
"149","0.00372104100193588",0.882342631714888,"Stard5",0.057762384824753
"150","0.00385849906729515",0.880865448119165,"Emc7",0.0595021171956568
"151","0.00394771729968508",0.879924740934605,"Glud1",0.0604800611141296
"152","0.00402468759320357",0.879124120352943,"Ttpa",0.0612588812887608
"153","0.00419396757513996",0.877397384469983,"Prdx5",0.0634236128782456
"154","0.00424571384198337",0.876878525402915,"Aox3",0.0637945720872373
"155","0.00432259441102039",0.876115107529941,"Atp11c",0.0641276031609607
"156","0.00452759665115014",0.874121246981407,"Nceh1",0.0667464562911694
"157","0.00459366822874713",0.873491034527695,"Ywhag",0.0672972395511455
"158","0.00475237561144104",0.87200067633667,"Suclg1",0.069189866044831
"159","0.00504876244440778",0.869300867372753,"Ephx2",0.0721603607908039
"160","0.00512016996728435",0.868665715078934,"Tbcel",0.0727374448685728
"161","0.00520321198598191",0.867934187435183,"Entpd5",0.073471860814106
"162","0.00538044667967926",0.866397594076241,"Prdx3",0.075519562977055
"163","0.00544728574481031",0.865826549076007,"Acacb",0.0757972099701469
"164","0.00548862135587311",0.865475640651059,"Mcat",0.0757972099701469
"165","0.00552657931310485",0.86515489543296,"Hpgd",0.0757972099701469
"166","0.00552957461812932",0.865129645271208,"Gar1",0.0757972099701469
"167","0.00559790022007798",0.864556032079793,"Sord",0.0762876634643185
"168","0.00566000962204666",0.864038487051331,"Gapdh",0.0764138916487822
"169","0.00570376767161615",0.863676041933382,"Hspd1",0.0764138916487822
"170","0.00572613888690532",0.863491430695767,"Opa3",0.0764138916487822
"171","0.00573756183028399",0.863397344748988,"Slc4a4",0.0764138916487822
"172","0.0058269608042923",0.862665115377293,"4931406C07Rik",0.0770991224847048
"173","0.00585479684397502",0.862438592750983,"Alg5",0.0770991224847048
"174","0.00598513307655456",0.861387025783138,"Cyp3a13",0.078199312963196
"175","0.00600506669512597",0.861227496194716,"Arcn1",0.078199312963196
"176","0.00616275342676494",0.859977311722101,"Agxt",0.0794048691789838
"177","0.00616539513249789",0.859956542918222,"Gss",0.0794048691789838
"178","0.00624829500870049",0.859307665863287,"Uqcrq",0.0799775235641515
"179","0.00627809911937025",0.859075728905103,"Dnaja1",0.0799775235641515
"180","0.00635446439786189",0.858484648043373,"Eno1",0.0805127813437204
"181","0.00639236974477204",0.858192940646204,"Pex19",0.0805576058158369
"182","0.00651117443723617",0.857285763363445,"Ube4a",0.0816160047105967
"183","0.00685360128467384",0.854728836618753,"Gsta3",0.0854512841025292
"184","0.0069430254746748",0.854074602629467,"Apoc1",0.0861082101197763
"185","0.00704991417857562",0.853299620285205,"Tmem97",0.0867177370885066
"186","0.0070661637303348",0.853182463609803,"Sar1b",0.0867177370885066
"187","0.00721567456443016",0.852112499102933,"Pgk1",0.0878013852914172
"188","0.00723911485571438",0.851946037387344,"Hspa5",0.0878013852914172
"189","0.00726683820244665",0.851749602935234,"Tmem19",0.0878013852914172
"190","0.00731596217360526",0.85140270513937,"Atp5o",0.0879416171022089
"191","0.00747003297924041",0.850324252696808,"Sds",0.0893354964456098
"192","0.00755850026651367",0.84971140870034,"Acp5",0.0899346427650154
"193","0.0076507035803559",0.849077533326032,"Hyou1",0.0905719656179507
"194","0.00774949139805727",0.848403773350066,"Pah",0.0912804413921922
