Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Klf2,3.07442E-06,3.70388E-06,3.33044E-06,2.55952E-06,2.19325E-06,8.67838E-07,6.45264E-07,9.75474E-07,1.62946E-06
Klf3,6.21252E-05,6.27212E-05,6.10556E-05,5.78609E-05,5.55719E-05,5.33953E-05,5.57652E-05,5.77638E-05,5.25242E-05
Klf4,4.38103E-07,1.81397E-06,2.03797E-06,1.24473E-06,7.56598E-07,7.91643E-07,5.18429E-07,6.02079E-07,7.22254E-07
Klf5,2.73732E-10,5.24102E-08,1.86015E-07,1.7888E-07,3.99931E-08,1.73258E-09,3.54231E-12,0,0
Klf6,1.28202E-05,6.47746E-06,5.39341E-06,3.74585E-06,3.2295E-06,5.18889E-06,3.65459E-06,4.06689E-06,2.67756E-06
Klf7,3.0594E-08,6.63628E-07,1.22572E-06,1.67365E-06,1.69583E-06,3.24399E-06,7.82505E-07,4.20682E-07,5.8247E-07
Klf8,0,0,0,0,0,0,0,0,0
Klf9,0.000159456,0.000188895,0.000186443,0.000170137,0.0001634,0.000168604,0.000154801,0.000141905,0.000144045
Klhdc1,6.6209E-06,9.51595E-07,3.95065E-07,2.11466E-07,2.48055E-07,1.00117E-08,2.36798E-13,1.59099E-19,1.6869E-19
Klhdc10,6.06542E-05,5.67208E-05,5.40985E-05,5.03241E-05,5.30974E-05,5.28389E-05,5.19773E-05,5.13581E-05,6.14457E-05
Klhdc2,1.06989E-05,1.58481E-05,1.82569E-05,1.77862E-05,1.73105E-05,1.68845E-05,1.89145E-05,1.84647E-05,2.72488E-05
Klhdc3,0.000108249,0.000110382,0.000119592,0.000125639,0.000127497,0.000126025,0.000121566,0.000116926,0.00010773
Klhdc4,1.49763E-05,1.18135E-05,1.20481E-05,1.00643E-05,9.28896E-06,6.58161E-06,7.44112E-06,7.54115E-06,6.81709E-06
Klhdc5,5.81912E-07,2.07602E-06,2.1688E-06,1.59712E-06,1.51741E-06,1.42974E-06,9.3094E-07,3.70802E-06,7.58032E-06
Klhdc7a,1.03075E-06,2.34049E-06,1.43764E-06,1.28308E-06,1.54164E-06,2.04325E-06,1.06685E-06,4.56619E-07,8.2792E-07
Klhdc7b,0,0,0,0,0,0,0,0,0
Klhdc8a,9.49499E-06,7.67707E-06,5.8086E-06,8.12337E-06,7.36673E-06,8.51183E-06,6.22918E-06,7.70359E-06,5.57228E-06
Klhdc8b,5.58151E-07,1.11512E-06,2.38669E-06,2.99246E-06,2.40146E-06,1.69331E-06,1.95085E-06,1.19857E-06,1.61139E-06
Klhdc9,0,0,0,0,0,0,0,0,0
Klhl1,0,0,0,0,0,0,0,0,0
Klhl10,0,0,0,0,0,0,0,0,0
Klhl11,2.99037E-06,1.7578E-06,2.17216E-06,2.22098E-06,1.35491E-06,1.09008E-06,1.11902E-06,1.48547E-06,2.16566E-06
Klhl12,3.36069E-08,8.74179E-07,1.87028E-06,1.83587E-06,2.03759E-06,2.57876E-06,2.3216E-06,2.70097E-06,2.47733E-06
Klhl13,9.80681E-12,8.03132E-09,1.26023E-07,7.42317E-07,1.57132E-06,1.36174E-06,1.60662E-06,1.73673E-06,1.80709E-06
Klhl14,8.88641E-13,3.55151E-11,8.56706E-10,1.60293E-08,9.88422E-08,1.03119E-06,2.25144E-07,2.18444E-08,6.2412E-08
Klhl15,5.437E-08,6.83057E-07,5.628E-07,1.81292E-07,2.39522E-07,5.2827E-07,5.32271E-07,2.56128E-07,1.71198E-07
Klhl17,3.62795E-06,2.58715E-06,1.84746E-06,1.64228E-06,1.31193E-06,1.92973E-06,1.75777E-06,1.07781E-06,9.85837E-07
Klhl18,1.05465E-05,8.49478E-06,5.80787E-06,1.07811E-05,8.47637E-06,8.13752E-06,5.57162E-06,4.12736E-06,3.58862E-06
Klhl2,1.29526E-05,7.04058E-06,6.97606E-06,7.2076E-06,8.70177E-06,8.17293E-06,9.31779E-06,1.07686E-05,1.35716E-05
Klhl20,5.44008E-07,1.93613E-06,1.64019E-06,1.58235E-06,2.22761E-06,1.4144E-06,1.67498E-06,1.95841E-06,1.90726E-06
Klhl21,2.85433E-05,3.67969E-05,3.86404E-05,3.48585E-05,3.23209E-05,2.94562E-05,2.32634E-05,2.44795E-05,2.05975E-05
Klhl22,1.61458E-05,1.85185E-05,1.65985E-05,1.42717E-05,1.4164E-05,1.41953E-05,1.51491E-05,1.34555E-05,1.75747E-05
Klhl23,1.32372E-09,9.56301E-08,8.99722E-08,3.31936E-08,6.07627E-09,1.04813E-10,1.2336E-13,0,0
Klhl24,1.17243E-05,4.8695E-06,3.73283E-06,4.12977E-06,3.80783E-06,5.49474E-06,6.93889E-06,3.95243E-06,3.96915E-06
Klhl25,2.44809E-05,2.25647E-05,2.1528E-05,1.88306E-05,1.9796E-05,2.68457E-05,2.60334E-05,0.000027364,2.98295E-05
Klhl26,1.11067E-06,2.47011E-06,1.4127E-06,1.16654E-06,1.74685E-06,2.91329E-06,3.0962E-06,2.44707E-06,2.7049E-06
Klhl28,6.71119E-08,1.73751E-06,2.48987E-06,2.21055E-06,2.46567E-06,1.27118E-06,2.95526E-06,4.73684E-06,3.01382E-06
