sample	slide	frame	sample_batch	evobox	mouse	tims_adj	included
slide10_frame01	10	1	3	2	3	0	FALSE
slide10_frame02	10	2	3	2	3	0	TRUE
slide10_frame03	10	3	3	2	3	0	FALSE
slide10_frame04	10	4	3	2	3	0	TRUE
slide10_frame05	10	5	3	2	3	0	TRUE
slide10_frame06	10	6	3	2	3	0	TRUE
slide10_frame07	10	7	3	2	3	0	TRUE
slide10_frame08	10	8	3	2	3	0	TRUE
slide10_frame09	10	9	3	2	3	0	FALSE
slide10_frame10	10	10	3	2	3	0	TRUE
slide10_frame11	10	11	3	2	3	0	FALSE
slide10_frame12	10	12	3	2	3	0	TRUE
slide10_frame13	10	13	3	2	3	0	TRUE
slide10_frame14	10	14	3	2	3	0	TRUE
slide10_frame15	10	15	3	2	3	0	TRUE
slide10_frame16	10	16	3	2	3	0	FALSE
slide10_frame17	10	17	3	2	3	0	TRUE
slide10_frame18	10	18	3	2	3	0	TRUE
slide10_frame19	10	19	3	2	3	0	TRUE
slide10_frame20	10	20	3	2	3	0	TRUE
slide10_frame21	10	21	3	2	3	0	TRUE
slide10_frame22	10	22	3	2	3	0	TRUE
slide11_frame01	11	1	3	2	5	0	TRUE
slide11_frame02	11	2	3	2	5	0	FALSE
slide11_frame03	11	3	3	2	5	0	TRUE
slide11_frame04	11	4	3	2	5	0	FALSE
slide11_frame05	11	5	3	2	5	0	TRUE
slide11_frame06	11	6	3	2	5	0	TRUE
slide11_frame07	11	7	3	2	5	0	FALSE
slide11_frame08	11	8	3	2	5	0	TRUE
slide11_frame09	11	9	3	2	5	0	TRUE
slide11_frame10	11	10	3	2	5	0	FALSE
slide11_frame11	11	11	3	2	5	0	TRUE
slide11_frame12	11	12	3	2	5	0	TRUE
slide11_frame13	11	13	3	2	5	0	TRUE
slide11_frame14	11	14	3	2	5	0	FALSE
slide11_frame15	11	15	3	2	5	0	TRUE
slide11_frame16	11	16	3	2	5	0	TRUE
slide11_frame17	11	17	3	2	5	0	TRUE
slide11_frame18	11	18	3	2	5	0	TRUE
slide11_frame19	11	19	3	2	5	0	TRUE
