"","p.val","corr.coef","Symbol","p.adjust"
"1","2.80492275960819e-08",0.995045570996866,"Slc1a2",4.55799948436331e-05
"2","7.44248798359814e-08",0.993449544930205,"Fbp1",6.04702148667349e-05
"3","3.38659242700528e-07",0.989890844720278,"Hpd",0.000110500958454442
"4","4.05570237571315e-07",0.989354842344418,"Cyp2c29",0.000110500958454442
"5","4.10789050227634e-07",0.989315767287622,"Por",0.000110500958454442
"6","4.49344270661493e-07",0.989037526304109,"Cyp1a2",0.000110500958454442
"7","4.76004128726828e-07",0.988854936702794,"Gstt1",0.000110500958454442
"8","8.16157086242603e-07",0.986991956337059,"Gstm1",0.000165781908143029
"9","1.27997604988011e-06",0.985199858786854,"Cyp2d10",0.000185926524116134
"10","1.3176277605335e-06",0.985076240214678,"Sds",0.000185926524116134
"11","1.36491647444606e-06",0.984924494099734,"Uroc1",0.000185926524116134
"12","1.37299587039607e-06",0.984898943788272,"Aldh1a1",0.000185926524116134
"13","1.71007257636262e-06",0.983916966351391,"Aldob",0.000212721852540681
"14","1.87026988894721e-06",0.983498245004661,"Aqp9",0.000212721852540681
"15","1.96358633114475e-06",0.98326599267457,"Hsd11b1",0.000212721852540681
"16","2.12251504786393e-06",0.98288790393101,"Rgn",0.00021556793454868
"17","2.33992822787521e-06",0.982402025089834,"Gulo",0.000223669610017483
"18","2.96527636720701e-06",0.981163403897593,"Atp5a1",0.000267698560928411
"19","3.65379494470355e-06",0.979998978938213,"Cyp2f2",0.000312495620270698
"20","4.10775160160846e-06",0.979314463889544,"Acly",0.000333754817630687
"21","4.72838350907247e-06",0.978460772150247,"Glul",0.000365886819154417
"22","7.45316354622481e-06",0.975449430795957,"Sdha",0.000531897461889167
"23","8.04024689593406e-06",0.974907976766171,"Cyp2e1",0.000531897461889167
"24","1.07700165102461e-05",0.972705542901404,"Acox1",0.000673126031890381
"25","1.52492989279034e-05",0.96982985381108,"Gsta3",0.000870465464763091
"26","1.63974980228951e-05",0.969192026871509,"Tmem205",0.000870465464763091
"27","1.67145630796948e-05",0.969021503193597,"Vcp",0.000870465464763091
"28","1.68485569757137e-05",0.968950128017537,"Cyp4a12b",0.000870465464763091
"29","1.7122880800604e-05",0.96880524897214,"Acaa1a",0.000870465464763091
"30","1.71414737676424e-05",0.968795489176029,"Cyp27a1",0.000870465464763091
"31","2.15248559808798e-05",0.966678028052353,"Uox",0.00103792785592359
"32","2.17166443700936e-05",0.966592665841081,"Hsp90ab1",0.00103792785592359
"33","2.47251216368986e-05",0.965318634352393,"Amdhd1",0.00114742092271949
"34","2.54197865956317e-05",0.96504024901834,"Gstm3",0.00114742092271949
"35","2.62593459382235e-05",0.964710901047272,"Aox1",0.00115328208512468
"36","2.81216870775798e-05",0.964006106554545,"Agxt",0.00120257214476493
"37","3.08336640884821e-05",0.963036655532967,"Atp5o",0.00128473600368675
"38","3.19111508626008e-05",0.962668245850954,"Cyp7a1",0.00128531742673341
"39","3.24295473821967e-05",0.962494130709301,"Aldh2",0.00128531742673341
"40","3.43753382177698e-05",0.961857655459619,"Sord",0.00132999820485419
"41","3.69294459402071e-05",0.96105980958659,"Cyp2c68",0.00139558952681015
"42","4.60028196928384e-05",0.958507370004649,"Sfxn1",0.00169282922356636
"43","4.68783477295299e-05",0.958280593773541,"Ftcd",0.00169282922356636
"44","4.99168802529851e-05",0.957516072735106,"Cyp2c54",0.00176336805241523
"45","5.50710211029481e-05",0.956291311094903,"Atp5c1",0.0019040512615381
"46","6.66045944830016e-05",0.953818766716507,"Suclg1",0.00225484304239328
"47","7.88083021191551e-05",0.951513036506534,"Asl",0.00261354063150259
"48","8.30779766205682e-05",0.950766180452797,"Cox5a",0.00270003424016847
"49","9.56351700633344e-05",0.948716035523616,"Abcb4",0.00302002605091827
"50","9.68138787207368e-05",0.948533573994112,"Creg1",0.00302002605091827
"51","9.84993111991805e-05",0.948275376616315,"Sgta",0.00302002605091827
"52","0.000110079672682774",0.94658069264049,"Ces2c",0.00325244596179867
"53","0.000110890343341863",0.946466861005537,"Cyp3a11",0.00325244596179867
"54","0.000113517347109463",0.946101971613984,"Hsd17b4",0.00325244596179867
"55","0.000114085796813861",0.94602379976756,"Cyp4a10",0.00325244596179867
"56","0.000119497398465081",0.945293018806886,"Ugt2b1",0.00329989678607974
"57","0.000119811637156126",0.945251307107945,"Acot2",0.00329989678607974
"58","0.000127150187913687",0.944298409001654,"Gstm2",0.00344365092266236
"59","0.000137438009463866",0.943025761345821,"Car3",0.00361323838174519
"60","0.000137858941334278",0.942975141494494,"Ppa1",0.00361323838174519
"61","0.000144121078053806",0.94223462673803,"Mgst1",0.00371740875932436
"62","0.000153610414074074",0.941154536207898,"Ugt2b34",0.00390026441984954
"63","0.000160812867481356",0.940365722176713,"Arg1",0.0040203216870339
"64","0.000164698197090296",0.939950492179914,"Hsp90aa1",0.00405506924654138
"65","0.000196418040686119",0.936794662573665,"Cyp2c50",0.00476387038977527
"66","0.000200508712691255",0.936414460066998,"Hsd17b6",0.00479156850181308
"67","0.000233123917678995",0.933562757325431,"Slco1a1",0.00544869769522207
"68","0.000234713131486489",0.933431177402031,"Me1",0.00544869769522207
"69","0.000262005085831122",0.931263389159472,"Rps15a",0.00599659527430385
"70","0.00026848658405186",0.930772104541345,"Ass1",0.00605959304283712
"71","0.00028225342476955",0.929755610152874,"Hal",0.0062830385650756
"72","0.000289076095823138",0.929264716406778,"Slco1b2",0.00634795480692702
"73","0.000302622559002614",0.928313655335757,"Prodh",0.0065568221117233
"74","0.000314070883333376",0.927532939144256,"Mug2",0.006682739313907
"75","0.000318897354400555",0.927209780969013,"Slc22a1",0.006682739313907
"76","0.000320771487067536",0.927085222992222,"Slc25a5",0.006682739313907
"77","0.000340911638380447",0.925777846394254,"Cyb5b",0.00701242294136995
"78","0.000349623778137058",0.925229076189851,"Acaa1b",0.00702347433526479
"79","0.000350093182250122",0.92519978247294,"C3",0.00702347433526479
"80","0.000390950842330521",0.922749112395601,"Tbcel",0.00774750144862313
"81","0.000398111395926748",0.922338357362693,"Cyp2a5",0.00779434961904778
"82","0.00040379477689419",0.922016009531861,"Gstp1",0.00781150610063165
"83","0.000414133995641194",0.921437656503469,"Pon1",0.0078199558479927
"84","0.000422111851930676",0.9209982720487,"Atp5h",0.0078199558479927
"85","0.000423472109688439",0.920923937197813,"Cth",0.0078199558479927
"86","0.000423480685922066",0.920923469058186,"Pdia5",0.0078199558479927
"87","0.000443072165867316",0.919870953497887,"Ndufv2",0.00808980078128526
"88","0.000466743144367053",0.918641901790099,"Ugdh",0.00836181388292427
"89","0.00046949665215584",0.918501790093077,"Ces1d",0.00836181388292427
"90","0.00047340730906402",0.918303782676375,"Rbm25",0.00836181388292427
"91","0.000519142311061472",0.916068871433041,"Got1",0.00907103500510637
"92","0.000528203506107391",0.915642600628223,"Pck1",0.00913117763217564
"93","0.000544293188651642",0.914898126993498,"Cox7c",0.00931027822693598
"94","0.000565619388996658",0.913934721866984,"Fmo1",0.00957428653249551
"95","0.000582721150863805",0.913180351354639,"Ces1c",0.00976208113560498
"96","0.000600288242681089",0.912421405628889,"Gnpnat1",0.00995375912608949
"97","0.000660430674543306",0.909935099682934,"Hspa5",0.0107319984613287
"98","0.000707844084299828",0.908084383577084,"Fabp1",0.0113498625036832
"99","0.000712422138692731",0.90791032100026,"Nolc1",0.0113498625036832
"100","0.000721341464311735",0.907573429102965,"Dpyd",0.0113803871796754
"101","0.00074024947061441",0.906868757744213,"S100a1",0.0115663979783502
"102","0.00076827301254847",0.905847118393721,"Aldh1l1",0.0118899394799168
"103","0.000825260936638369",0.903847152073028,"Cyp2c37",0.0123914160965435
"104","0.000831178064321992",0.90364507718717,"Gpd2",0.0123914160965435
"105","0.000896156583983731",0.901489323639197,"Gnmt",0.0132386768088506
"106","0.000913327208247082",0.900937964584185,"Slc27a2",0.0133479885375227
"107","0.000972940671670529",0.899078049192864,"Akr1c6",0.0139914034642886
"108","0.000989847661877846",0.898565064513054,"Cyp2c67",0.0141096706188728
"109","0.00101064555065621",0.89794232730779,"Abhd6",0.0142808610418812
"110","0.00101987756873848",0.897668757283049,"Gldc",0.0142870780103451
"111","0.00107956628731589",0.895940378747939,"Aox3",0.0149939762127207
"112","0.00114029802561856",0.894248773249314,"Slc25a3",0.0157032567087302
"113","0.00116295597698382",0.893633729272713,"Ces3a",0.0158280584278657
"114","0.00116884123775008",0.893475340995317,"Cyp2c69",0.0158280584278657
"115","0.00119102025311696",0.8928833799549,"Mrps5",0.0159951067050831
"116","0.00127844672018167",0.890621941340796,"Abat",0.0170284911499608
"117","0.00130176245297649",0.890037085017616,"Ap1m1",0.0171980811876975
"118","0.00135332183081155",0.888769136809066,"Cyp2a12",0.0177350643150707
"119","0.00138157839941536",0.888088437411109,"Pafah2",0.0178731856220609
"120","0.00138585931592595",0.887986155991166,"Atp5b",0.0178731856220609
"121","0.00141255759448419",0.887353170463475,"Atp5k",0.0179827647868751
"122","0.00141648854936616",0.887260675412674,"Mettl7b",0.0179827647868751
"123","0.00149241415955424",0.885508107946943,"Fh1",0.0187997907695786
"124","0.00154156350528475",0.884406364094349,"Hpgd",0.01913241227288
"125","0.00154236677399833",0.884388561591745,"Dnaja1",0.01913241227288
"126","0.00158316395010027",0.883492725941127,"Ubxn1",0.0193431685632552
"127","0.00160716456726562",0.882973172352977,"Oat",0.0194179308262841
"128","0.00161318194556822",0.882843755638101,"Hmgcl",0.0194179308262841
"129","0.00175886843776551",0.879807748992379,"Eno1",0.0207116334308086
"130","0.00175889563904713",0.879807198714344,"Atp5j",0.0207116334308086
"131","0.00179910075930882",0.879000216847332,"Nceh1",0.0209119559420249
"132","0.00180164543500522",0.878949563147175,"Ugt2b36",0.0209119559420249
"133","0.00192561055185311",0.876539726642639,"Selenbp2",0.0220360362447979
"134","0.00198677928051672",0.875390061247408,"Pgk1",0.0225026284846454
"135","0.00199790965967127",0.875183509300334,"Cyp4a12a",0.0225026284846454
"136","0.00207364032613145",0.873798855743439,"Idh2",0.0230799008901617
"137","0.00213367185029585",0.872725892031911,"Gpx4",0.0234271402481808
"138","0.00227918011404636",0.87020908922956,"Fabp4",0.0248568301028546
