cell_ID	range	bin	ratio	bio_ID	Index	run	label_short	dist_to_central_vein(pixels)	dist_to_portal_vein(pixels)	sum_distance	included	Hepatocyte
m5C_42_target4	(0.31,0.357]	5	0.3102310231023102	m5C	150	42	4	836	376	1212	TRUE	TRUE
m5C_52_target4	(0.31,0.357]	5	0.33924843423799583	m5C	192	52	4	633	325	958	TRUE	TRUE
m5C_63_target8	(0.31,0.357]	5	0.347246891651865	m5C	258	63	8	735	391	1126	TRUE	TRUE
m3B_07_target8	(0.31,0.357]	5	0.3402777777777778	m3B	167	7	8	760	392	1152	TRUE	TRUE
m3B_13_target4	(0.31,0.357]	5	0.34717607973421927	m3B	179	13	4	786	418	1204	TRUE	TRUE
m3B_18_target8	(0.31,0.357]	5	0.3170731707317073	m3B	211	18	8	812	377	1189	TRUE	TRUE
m3B_37_target4	(0.31,0.357]	5	0.3518324607329843	m3B	271	37	4	619	336	955	TRUE	TRUE
m3B_34_target8	(0.31,0.357]	5	0.354251012145749	m3B	287	34	8	638	350	988	TRUE	TRUE
m3B_45_target8	(0.31,0.357]	5	0.35132096683530073	m3B	156	45	8	1154	625	1779	TRUE	TRUE
m3B_59_target8	(0.31,0.357]	5	0.32090199479618386	m3B	206	59	8	783	370	1153	TRUE	TRUE
m4A_08_target8	(0.357,0.405]	4	0.39007580978635426	m4A	38	8	8	885	566	1451	TRUE	TRUE
m4A_15_target4	(0.357,0.405]	4	0.3963963963963964	m4A	52	15	4	737	484	1221	TRUE	TRUE
m4A_13_target8	(0.357,0.405]	4	0.3703170028818444	m4A	70	13	8	437	257	694	TRUE	TRUE
m4A_21_target8	(0.357,0.405]	4	0.3773250664304694	m4A	86	21	8	703	426	1129	TRUE	TRUE
m4A_39_target4	(0.357,0.405]	4	0.37897042716319823	m4A	144	39	4	1134	692	1826	TRUE	TRUE
m4A_46_target4	(0.357,0.405]	4	0.3976945244956772	m4A	180	46	4	627	414	1041	TRUE	TRUE
m4A_48_target8	(0.357,0.405]	4	0.377541142303969	m4A	206	48	8	643	390	1033	TRUE	TRUE
m4A_71_target8	(0.357,0.405]	4	0.38030424339471575	m4A	296	71	8	774	475	1249	TRUE	TRUE
m5C_44_target4	(0.357,0.405]	4	0.3693858845096242	m5C	154	44	4	688	403	1091	TRUE	TRUE
m5C_48_target4	(0.357,0.405]	4	0.37104072398190047	m5C	184	48	4	695	410	1105	TRUE	TRUE
m5C_57_target4	(0.357,0.405]	4	0.399624765478424	m5C	224	57	4	960	639	1599	TRUE	TRUE
m5C_58_target4	(0.357,0.405]	4	0.37328519855595665	m5C	226	58	4	868	517	1385	TRUE	TRUE
m3B_06_target8	(0.357,0.405]	4	0.37037037037037035	m3B	165	6	8	731	430	1161	TRUE	TRUE
m3B_24_target4	(0.357,0.405]	4	0.3853211009174312	m3B	223	24	4	469	294	763	TRUE	TRUE
m3B_32_target4	(0.357,0.405]	4	0.38728813559322034	m3B	239	32	4	723	457	1180	TRUE	TRUE
m3B_55_target4	(0.357,0.405]	4	0.38990267639902676	m3B	154	55	4	1003	641	1644	TRUE	TRUE
m3B_49_target8	(0.357,0.405]	4	0.36405178979436403	m3B	164	49	8	835	478	1313	TRUE	TRUE
m3B_58_target8	(0.357,0.405]	4	0.3624401913875598	m3B	204	58	8	533	303	836	TRUE	TRUE
m4A_04_target8	(0.405,0.452]	3	0.415916955017301	m4A	30	4	8	844	601	1445	TRUE	TRUE
m4A_27_target4	(0.405,0.452]	3	0.41312997347480107	m4A	98	27	4	885	623	1508	TRUE	TRUE
m4A_28_target4	(0.405,0.452]	3	0.409486931268151	m4A	100	28	4	1220	846	2066	TRUE	TRUE
m4A_42_target8	(0.405,0.452]	3	0.4420226678291194	m4A	172	42	8	640	507	1147	TRUE	TRUE
m4A_43_target8	(0.405,0.452]	3	0.4417879417879418	m4A	174	43	8	537	425	962	TRUE	TRUE
m4A_51_target8	(0.405,0.452]	3	0.45110410094637227	m4A	212	51	8	696	572	1268	TRUE	TRUE
m5C_07_target4	(0.405,0.452]	3	0.40548554484803556	m5C	14	7	4	802	547	1349	TRUE	TRUE
m5C_03_target8	(0.405,0.452]	3	0.4351610095735422	m5C	28	3	8	649	500	1149	TRUE	TRUE
m5C_06_target8	(0.405,0.452]	3	0.4487603305785124	m5C	34	6	8	667	543	1210	TRUE	TRUE
m5C_13_target4	(0.405,0.452]	3	0.4103863204559848	m5C	48	13	4	931	648	1579	TRUE	TRUE
m5C_14_target4	(0.405,0.452]	3	0.4454870420017873	m5C	50	14	4	1241	997	2238	TRUE	TRUE
m5C_15_target8	(0.405,0.452]	3	0.4408713692946058	m5C	74	15	8	539	425	964	TRUE	TRUE
m5C_20_target8	(0.405,0.452]	3	0.41545189504373176	m5C	84	20	8	802	570	1372	TRUE	TRUE
m5C_30_target4	(0.405,0.452]	3	0.405607476635514	m5C	104	30	4	636	434	1070	TRUE	TRUE
m5C_25_target8	(0.405,0.452]	3	0.4288577154308617	m5C	116	25	8	855	642	1497	TRUE	TRUE
m5C_27_target8	(0.405,0.452]	3	0.4523339907955293	m5C	120	27	8	833	688	1521	TRUE	TRUE
m5C_32_target8	(0.405,0.452]	3	0.4489795918367347	m5C	130	32	8	756	616	1372	TRUE	TRUE
m5C_44_target8	(0.405,0.452]	3	0.41611545399879735	m5C	176	44	8	971	692	1663	TRUE	TRUE
m5C_49_target8	(0.405,0.452]	3	0.45163690476190477	m5C	208	49	8	737	607	1344	TRUE	TRUE
m5C_71_target8	(0.405,0.452]	3	0.43612334801762115	m5C	296	71	8	768	594	1362	TRUE	TRUE
m3B_01_target4	(0.405,0.452]	3	0.4123314065510597	m3B	133	1	4	915	642	1557	TRUE	TRUE
m3B_02_target4	(0.405,0.452]	3	0.4346820809248555	m3B	135	2	4	978	752	1730	TRUE	TRUE
m3B_04_target4	(0.405,0.452]	3	0.4500354358610914	m3B	139	4	4	776	635	1411	TRUE	TRUE
m3B_43_target4	(0.405,0.452]	3	0.407514450867052	m3B	283	43	4	410	282	692	TRUE	TRUE
m3B_37_target8	(0.405,0.452]	3	0.44614003590664275	m3B	293	37	8	617	497	1114	TRUE	TRUE
m3B_47_target4	(0.405,0.452]	3	0.41994177583697234	m3B	138	47	4	797	577	1374	TRUE	TRUE
m3B_48_target4	(0.405,0.452]	3	0.44812680115273773	m3B	140	48	4	766	622	1388	TRUE	TRUE
m3B_61_target4	(0.405,0.452]	3	0.4388984509466437	m3B	188	61	4	326	255	581	TRUE	TRUE
m3B_60_target8	(0.405,0.452]	3	0.4307875894988067	m3B	208	60	8	954	722	1676	TRUE	TRUE
m3B_62_target8	(0.405,0.452]	3	0.43478260869565216	m3B	212	62	8	533	410	943	TRUE	TRUE
m4A_11_target4	(0.452,0.5]	2	0.4666666666666667	m4A	22	11	4	648	567	1215	TRUE	TRUE
m4A_10_target8	(0.452,0.5]	2	0.49082125603864735	m4A	42	10	8	527	508	1035	TRUE	TRUE
m4A_14_target4	(0.452,0.5]	2	0.45694200351493847	m4A	50	14	4	618	520	1138	TRUE	TRUE
m4A_26_target8	(0.452,0.5]	2	0.4592881521209166	m4A	118	26	8	1109	942	2051	TRUE	TRUE
m4A_43_target4	(0.452,0.5]	2	0.49889012208657046	m4A	152	43	4	903	899	1802	TRUE	TRUE
m4A_62_target8	(0.452,0.5]	2	0.4732984293193717	m4A	256	62	8	1006	904	1910	TRUE	TRUE
m5C_18_target4	(0.452,0.5]	2	0.45924627519719546	m5C	58	18	4	617	524	1141	TRUE	TRUE
m5C_25_target4	(0.452,0.5]	2	0.47265625	m5C	94	25	4	810	726	1536	TRUE	TRUE
m5C_29_target4	(0.452,0.5]	2	0.46175115207373274	m5C	102	29	4	584	501	1085	TRUE	TRUE
m5C_23_target8	(0.452,0.5]	2	0.47166521360069746	m5C	112	23	8	606	541	1147	TRUE	TRUE
m5C_34_target4	(0.452,0.5]	2	0.4780534351145038	m5C	134	34	4	547	501	1048	TRUE	TRUE
m5C_38_target4	(0.452,0.5]	2	0.4875156054931336	m5C	142	38	4	821	781	1602	TRUE	TRUE
m5C_47_target4	(0.452,0.5]	2	0.49876543209876545	m5C	182	47	4	609	606	1215	TRUE	TRUE
m5C_47_target8	(0.452,0.5]	2	0.4919396775871035	m5C	204	47	8	977	946	1923	TRUE	TRUE
m5C_54_target8	(0.452,0.5]	2	0.4775212636695018	m5C	218	54	8	430	393	823	TRUE	TRUE
m5C_61_target4	(0.452,0.5]	2	0.4743083003952569	m5C	232	61	4	665	600	1265	TRUE	TRUE
m5C_64_target8	(0.452,0.5]	2	0.49914529914529915	m5C	260	64	8	1172	1168	2340	TRUE	TRUE
m3B_05_target4	(0.452,0.5]	2	0.47602131438721135	m3B	141	5	4	590	536	1126	TRUE	TRUE
m3B_10_target4	(0.452,0.5]	2	0.47509578544061304	m3B	151	10	4	548	496	1044	TRUE	TRUE
m3B_16_target8	(0.452,0.5]	2	0.4576822916666667	m3B	207	16	8	833	703	1536	TRUE	TRUE
m3B_29_target4	(0.452,0.5]	2	0.499486125385406	m3B	233	29	4	487	486	973	TRUE	TRUE
m3B_34_target4	(0.452,0.5]	2	0.46378174976481656	m3B	265	34	4	570	493	1063	TRUE	TRUE
m3B_54_target8	(0.452,0.5]	2	0.45754716981132076	m3B	174	54	8	115	97	212	TRUE	TRUE
m3B_73_target8	(0.452,0.5]	2	0.4879807692307692	m3B	256	73	8	426	406	832	TRUE	TRUE
m3B_77_target8	(0.452,0.5]	2	0.4978494623655914	m3B	264	77	8	467	463	930	TRUE	TRUE
m4A_11_target8	(0.5,0.547]	1	0.5350076103500762	m4A	44	11	8	611	703	1314	TRUE	TRUE
m4A_21_target4	(0.5,0.547]	1	0.5007836990595611	m4A	64	21	4	637	639	1276	TRUE	TRUE
m4A_22_target4	(0.5,0.547]	1	0.5072024260803639	m4A	66	22	4	650	669	1319	TRUE	TRUE
m4A_16_target8	(0.5,0.547]	1	0.53984375	m4A	76	16	8	589	691	1280	TRUE	TRUE
m4A_23_target4	(0.5,0.547]	1	0.5102827763496144	m4A	90	23	4	381	397	778	TRUE	TRUE
m4A_25_target4	(0.5,0.547]	1	0.5	m4A	94	25	4	419	419	838	TRUE	TRUE
m4A_30_target4	(0.5,0.547]	1	0.5438247011952191	m4A	104	30	4	458	546	1004	TRUE	TRUE
m4A_32_target4	(0.5,0.547]	1	0.5131494547787043	m4A	108	32	4	759	800	1559	TRUE	TRUE
m4A_30_target8	(0.5,0.547]	1	0.5116120218579235	m4A	126	30	8	715	749	1464	TRUE	TRUE
m4A_44_target4	(0.5,0.547]	1	0.536833855799373	m4A	154	44	4	1182	1370	2552	TRUE	TRUE
m4A_35_target8	(0.5,0.547]	1	0.5	m4A	158	35	8	491	491	982	TRUE	TRUE
m4A_40_target8	(0.5,0.547]	1	0.5449526813880127	m4A	168	40	8	577	691	1268	TRUE	TRUE
m4A_54_target8	(0.5,0.547]	1	0.5319444444444444	m4A	218	54	8	674	766	1440	TRUE	TRUE
m4A_62_target4	(0.5,0.547]	1	0.5391246684350133	m4A	234	62	4	695	813	1508	TRUE	TRUE
m4A_63_target4	(0.5,0.547]	1	0.5466434176111595	m4A	236	63	4	520	627	1147	TRUE	TRUE
m5C_01_target4	(0.5,0.547]	1	0.5242080095636581	m5C	2	1	4	796	877	1673	TRUE	TRUE
m5C_06_target4	(0.5,0.547]	1	0.5188125647221263	m5C	12	6	4	1394	1503	2897	TRUE	TRUE
m5C_02_target8	(0.5,0.547]	1	0.509090909090909	m5C	26	2	8	486	504	990	TRUE	TRUE
m5C_19_target4	(0.5,0.547]	1	0.5186360031720857	m5C	60	19	4	607	654	1261	TRUE	TRUE
m5C_21_target4	(0.5,0.547]	1	0.5316642120765832	m5C	64	21	4	636	722	1358	TRUE	TRUE
m5C_43_target4	(0.5,0.547]	1	0.5224948875255624	m5C	152	43	4	467	511	978	TRUE	TRUE
m5C_34_target8	(0.5,0.547]	1	0.506514657980456	m5C	156	34	8	606	622	1228	TRUE	TRUE
m3B_03_target4	(0.5,0.547]	1	0.5010183299389002	m3B	137	3	4	735	738	1473	TRUE	TRUE
m3B_12_target8	(0.5,0.547]	1	0.5098360655737705	m3B	199	12	8	598	622	1220	TRUE	TRUE
m3B_15_target8	(0.5,0.547]	1	0.5224806201550387	m3B	205	15	8	308	337	645	TRUE	TRUE
m3B_27_target8	(0.5,0.547]	1	0.5032552083333334	m3B	251	27	8	763	773	1536	TRUE	TRUE
m3B_35_target4	(0.5,0.547]	1	0.5131729667812142	m3B	267	35	4	425	448	873	TRUE	TRUE
m3B_42_target4	(0.5,0.547]	1	0.5174337517433751	m3B	281	42	4	346	371	717	TRUE	TRUE
m3B_45_target4	(0.5,0.547]	1	0.5239398084815321	m3B	134	45	4	348	383	731	TRUE	TRUE
m3B_58_target4	(0.5,0.547]	1	0.5046808510638298	m3B	182	58	4	582	593	1175	TRUE	TRUE
m3B_63_target8	(0.5,0.547]	1	0.5338208409506399	m3B	214	63	8	510	584	1094	TRUE	TRUE
m3B_66_target8	(0.5,0.547]	1	0.5065502183406113	m3B	220	66	8	565	580	1145	TRUE	TRUE
m4A_04_target4	(0.547,0.595]	0	0.5916359163591636	m4A	8	4	4	332	481	813	TRUE	TRUE
m4A_05_target4	(0.547,0.595]	0	0.5810945273631841	m4A	10	5	4	842	1168	2010	TRUE	TRUE
m4A_07_target4	(0.547,0.595]	0	0.5700123915737298	m4A	14	7	4	1041	1380	2421	TRUE	TRUE
m4A_27_target8	(0.547,0.595]	0	0.5729665071770335	m4A	120	27	8	1071	1437	2508	TRUE	TRUE
m4A_47_target8	(0.547,0.595]	0	0.5575313807531381	m4A	204	47	8	423	533	956	TRUE	TRUE
m4A_52_target8	(0.547,0.595]	0	0.5898188937836515	m4A	214	52	8	838	1205	2043	TRUE	TRUE
m4A_72_target4	(0.547,0.595]	0	0.5514433752775721	m4A	276	72	4	606	745	1351	TRUE	TRUE
m4A_73_target8	(0.547,0.595]	0	0.5932773109243697	m4A	300	73	8	726	1059	1785	TRUE	TRUE
m5C_08_target4	(0.547,0.595]	0	0.5594504973945997	m5C	16	8	4	930	1181	2111	TRUE	TRUE
m5C_04_target8	(0.547,0.595]	0	0.5789029535864979	m5C	30	4	8	499	686	1185	TRUE	TRUE
m5C_09_target8	(0.547,0.595]	0	0.5631364562118126	m5C	40	9	8	429	553	982	TRUE	TRUE
m5C_10_target8	(0.547,0.595]	0	0.5917602996254682	m5C	42	10	8	436	632	1068	TRUE	TRUE
m5C_26_target4	(0.547,0.595]	0	0.5858511422254974	m5C	96	26	4	562	795	1357	TRUE	TRUE
m5C_45_target4	(0.547,0.595]	0	0.5940959409594095	m5C	178	45	4	660	966	1626	TRUE	TRUE
m5C_45_target8	(0.547,0.595]	0	0.5609756097560976	m5C	200	45	8	504	644	1148	TRUE	TRUE
m5C_59_target4	(0.547,0.595]	0	0.582326764144946	m5C	228	59	4	657	916	1573	TRUE	TRUE
m5C_69_target8	(0.547,0.595]	0	0.5831578947368421	m5C	292	69	8	396	554	950	TRUE	TRUE
m5C_70_target8	(0.547,0.595]	0	0.5655095184770437	m5C	294	70	8	388	505	893	TRUE	TRUE
m3B_21_target4	(0.547,0.595]	0	0.5833333333333334	m3B	195	21	4	330	462	792	TRUE	TRUE
m3B_30_target4	(0.547,0.595]	0	0.5940695296523517	m3B	235	30	4	397	581	978	TRUE	TRUE
m3B_30_target8	(0.547,0.595]	0	0.5762195121951219	m3B	257	30	8	417	567	984	TRUE	TRUE
m3B_32_target8	(0.547,0.595]	0	0.5864485981308412	m3B	261	32	8	531	753	1284	TRUE	TRUE
m3B_46_target4	(0.547,0.595]	0	0.5780160857908847	m3B	136	46	4	787	1078	1865	TRUE	TRUE
m3B_67_target4	(0.547,0.595]	0	0.5776566757493188	m3B	222	67	4	310	424	734	TRUE	TRUE
m3B_72_target4	(0.547,0.595]	0	0.553125	m3B	232	72	4	286	354	640	TRUE	TRUE
m4A_18_target4	(0.595,0.642]	1	0.6391270459859704	m4A	58	18	4	463	820	1283	TRUE	TRUE
m4A_35_target4	(0.595,0.642]	1	0.6363636363636364	m4A	136	35	4	332	581	913	TRUE	TRUE
m4A_41_target4	(0.595,0.642]	1	0.6352433764633395	m4A	148	41	4	592	1031	1623	TRUE	TRUE
m4A_46_target8	(0.595,0.642]	1	0.6044905008635578	m4A	202	46	8	458	700	1158	TRUE	TRUE
m4A_64_target8	(0.595,0.642]	1	0.6221142162818954	m4A	260	64	8	311	512	823	TRUE	TRUE
m4A_68_target4	(0.595,0.642]	1	0.629798903107861	m4A	268	68	4	405	689	1094	TRUE	TRUE
m4A_70_target4	(0.595,0.642]	1	0.6297898640296663	m4A	272	70	4	599	1019	1618	TRUE	TRUE
m4A_73_target4	(0.595,0.642]	1	0.6004343105320304	m4A	278	73	4	736	1106	1842	TRUE	TRUE
m4A_77_target4	(0.595,0.642]	1	0.5972222222222222	m4A	286	77	4	464	688	1152	TRUE	TRUE
m5C_10_target4	(0.595,0.642]	1	0.6179930795847751	m5C	20	10	4	552	893	1445	TRUE	TRUE
m5C_05_target8	(0.595,0.642]	1	0.6213063763608087	m5C	32	5	8	487	799	1286	TRUE	TRUE
m5C_12_target4	(0.595,0.642]	1	0.6081424936386769	m5C	46	12	4	616	956	1572	TRUE	TRUE
m5C_38_target8	(0.595,0.642]	1	0.6280344557556774	m5C	164	38	8	475	802	1277	TRUE	TRUE
m5C_46_target8	(0.595,0.642]	1	0.6380208333333334	m5C	202	46	8	417	735	1152	TRUE	TRUE
m5C_55_target8	(0.595,0.642]	1	0.632807570977918	m5C	220	55	8	582	1003	1585	TRUE	TRUE
m5C_65_target8	(0.595,0.642]	1	0.5966748768472906	m5C	262	65	8	655	969	1624	TRUE	TRUE
m5C_70_target4	(0.595,0.642]	1	0.6150602409638555	m5C	272	70	4	639	1021	1660	TRUE	TRUE
