,0,1,2,3,4,Shape Index
132,0.045,0.01,0.01,0.145,0.79,133
133,0.555,0.215,0.015,0.195,0.02,134
134,0.0,0.0,0.0,0.61,0.39,135
135,0.665,0.185,0.005,0.13,0.015,136
136,0.0,0.005,0.005,0.09,0.9,137
137,0.0,0.0,0.0,0.84,0.16,138
138,0.46,0.185,0.04,0.3,0.015,139
139,0.005,0.0,0.0,0.045,0.95,140
140,0.715,0.12,0.005,0.145,0.015,141
141,0.76,0.06,0.025,0.135,0.02,142
142,0.72,0.125,0.0,0.14,0.015,143
143,0.03,0.015,0.02,0.28,0.655,144
144,0.0,0.005,0.01,0.71,0.275,145
145,0.005,0.0,0.0,0.95,0.045,146
146,0.435,0.18,0.07,0.3,0.015,147
147,0.0,0.035,0.12,0.145,0.7,148
148,0.0,0.0,0.01,0.145,0.845,149
149,0.49,0.16,0.05,0.3,0.0,150
150,0.02,0.01,0.01,0.95,0.01,151
151,0.865,0.025,0.0,0.085,0.025,152
152,0.71,0.09,0.015,0.155,0.03,153
153,0.685,0.11,0.01,0.155,0.04,154
154,0.01,0.0,0.0,0.945,0.045,155
155,0.445,0.085,0.01,0.415,0.045,156
156,0.12,0.0,0.0,0.825,0.055,157
157,0.67,0.125,0.005,0.17,0.03,158
158,0.035,0.005,0.0,0.91,0.05,159
159,0.035,0.0,0.0,0.935,0.03,160
160,0.57,0.165,0.0,0.23,0.035,161
161,0.215,0.04,0.04,0.58,0.125,162
162,0.0,0.0,0.0,0.075,0.925,163
163,0.39,0.19,0.045,0.335,0.04,164
164,0.415,0.025,0.115,0.245,0.2,165
165,0.015,0.095,0.13,0.585,0.175,166
166,0.84,0.045,0.0,0.095,0.02,167
167,0.03,0.0,0.0,0.915,0.055,168
168,0.705,0.095,0.0,0.17,0.03,169
169,0.045,0.0,0.0,0.885,0.07,170
170,0.005,0.0,0.0,0.85,0.145,171
171,0.595,0.225,0.0,0.15,0.03,172
172,0.695,0.22,0.0,0.07,0.015,173
173,0.0,0.0,0.0,0.875,0.125,174
174,0.0,0.005,0.0,0.08,0.915,175
175,0.825,0.045,0.0,0.105,0.025,176
176,0.64,0.225,0.005,0.125,0.005,177
177,0.36,0.105,0.055,0.44,0.04,178
178,0.02,0.0,0.01,0.95,0.02,179
179,0.705,0.065,0.0,0.205,0.025,180
180,0.115,0.0,0.0,0.82,0.065,181
181,0.0,0.0,0.0,0.16,0.84,182
182,0.795,0.025,0.0,0.14,0.04,183
183,0.795,0.085,0.0,0.115,0.005,184
184,0.545,0.065,0.02,0.34,0.03,185
185,0.71,0.04,0.0,0.15,0.1,186
186,0.465,0.27,0.035,0.215,0.015,187
187,0.85,0.055,0.005,0.08,0.01,188
188,0.11,0.005,0.02,0.845,0.02,189
189,0.69,0.115,0.0,0.155,0.04,190
190,0.66,0.17,0.015,0.14,0.015,191
191,0.09,0.08,0.16,0.56,0.11,192
192,0.0,0.0,0.0,0.275,0.725,193
193,0.03,0.005,0.015,0.35,0.6,194
194,0.89,0.08,0.0,0.025,0.005,195
195,0.005,0.0,0.005,0.16,0.83,196
196,0.005,0.0,0.0,0.84,0.155,197
197,0.61,0.245,0.005,0.13,0.01,198
198,0.135,0.0,0.0,0.825,0.04,199
199,0.665,0.22,0.0,0.095,0.02,200
200,0.0,0.0,0.0,0.23,0.77,201
201,0.595,0.055,0.06,0.235,0.055,202
202,0.01,0.0,0.01,0.505,0.475,203
203,0.03,0.0,0.0,0.82,0.15,204
204,0.01,0.0,0.0,0.16,0.83,205
205,0.7,0.105,0.0,0.175,0.02,206
206,0.0,0.0,0.0,0.21,0.79,207
207,0.005,0.0,0.0,0.21,0.785,208
208,0.11,0.005,0.0,0.645,0.24,209
209,0.005,0.0,0.0,0.955,0.04,210
210,0.45,0.435,0.025,0.06,0.03,211
211,0.675,0.07,0.015,0.21,0.03,212
212,0.01,0.0,0.0,0.89,0.1,213
213,0.395,0.265,0.03,0.31,0.0,214
214,0.58,0.26,0.005,0.125,0.03,215
215,0.035,0.0,0.0,0.32,0.645,216
216,0.615,0.27,0.0,0.11,0.005,217
217,0.165,0.085,0.18,0.305,0.265,218
218,0.235,0.01,0.01,0.705,0.04,219
219,0.72,0.085,0.0,0.16,0.035,220
220,0.175,0.05,0.095,0.595,0.085,221
221,0.01,0.0,0.0,0.935,0.055,222
222,0.03,0.0,0.005,0.785,0.18,223
223,0.08,0.0,0.0,0.525,0.395,224
224,0.04,0.0,0.0,0.105,0.855,225
225,0.0,0.005,0.0,0.195,0.8,226
226,0.165,0.01,0.0,0.755,0.07,227
227,0.0,0.05,0.06,0.15,0.74,228
228,0.035,0.0,0.005,0.775,0.185,229
229,0.605,0.3,0.0,0.08,0.015,230
230,0.015,0.0,0.0,0.915,0.07,231
231,0.67,0.095,0.015,0.175,0.045,232
232,0.035,0.005,0.0,0.695,0.265,233
233,0.44,0.185,0.035,0.32,0.02,234
234,0.0,0.0,0.0,0.775,0.225,235
235,0.0,0.0,0.0,0.065,0.935,236
236,0.195,0.0,0.02,0.63,0.155,237
