Protein	Symbol	ENSEMBL	bin	int
A0A075B5P3	NA	NA	1	8.702524501917704
A0A075B5P3	NA	NA	2	8.915099454168804
A0A075B5P3	NA	NA	3	9.285004910429679
A0A075B5P3	NA	NA	4	8.964666302597484
A0A075B5P3	NA	NA	5	8.709574190312713
A0A075B5P3	NA	NA	6	9.145860464928063
A0A075B5P3	NA	NA	7	8.77410075776234
A0A075B5P3	NA	NA	8	8.730031370205523
A0A075B5P3	NA	NA	9	9.489892689311805
A0A075B5P4	NA	NA	1	7.3645865443581915
A0A075B5P4	NA	NA	2	7.142162521611688
A0A075B5P4	NA	NA	3	7.697396800652956
A0A075B5P4	NA	NA	4	6.312775849096957
A0A075B5P4	NA	NA	5	7.713786595358149
A0A075B5P4	NA	NA	6	7.6619550521552124
A0A075B5P4	NA	NA	7	7.2578081865428
A0A075B5P4	NA	NA	8	7.036838148614768
A0A075B5P4	NA	NA	9	6.351341127353413
A0A075B5R5	NA	NA	1	0
A0A075B5R5	NA	NA	2	0
A0A075B5R5	NA	NA	3	0
A0A075B5R5	NA	NA	4	4.4617681595991945
A0A075B5R5	NA	NA	5	5.584689056950685
A0A075B5R5	NA	NA	6	2.5389134809421465
A0A075B5R5	NA	NA	7	0
A0A075B5R5	NA	NA	8	2.110123593781101
A0A075B5R5	NA	NA	9	0
A0A075B6A3	NA	NA	1	8.218748278376781
A0A075B6A3	NA	NA	2	7.658580246462227
A0A075B6A3	NA	NA	3	8.507963223746582
A0A075B6A3	NA	NA	4	7.5265157273101275
A0A075B6A3	NA	NA	5	9.50424419676679
A0A075B6A3	NA	NA	6	9.731309403570107
A0A075B6A3	NA	NA	7	10.409948620950924
A0A075B6A3	NA	NA	8	10.16626713893783
A0A075B6A3	NA	NA	9	10.057413237978867
A0A087WNW3	Ktn1	ENSMUSG00000021843	1	6.306687635669577
A0A087WNW3	Ktn1	ENSMUSG00000021843	2	7.117108150957668
A0A087WNW3	Ktn1	ENSMUSG00000021843	3	7.577502970589128
A0A087WNW3	Ktn1	ENSMUSG00000021843	4	7.643648054090267
A0A087WNW3	Ktn1	ENSMUSG00000021843	5	7.243254192087808
A0A087WNW3	Ktn1	ENSMUSG00000021843	6	7.189642245151456
A0A087WNW3	Ktn1	ENSMUSG00000021843	7	7.888729188937914
A0A087WNW3	Ktn1	ENSMUSG00000021843	8	7.103322779076301
A0A087WNW3	Ktn1	ENSMUSG00000021843	9	7.278105232885139
A0A087WQ94	NA	NA	1	8.758584843823662
A0A087WQ94	NA	NA	2	7.954648459533824
A0A087WQ94	NA	NA	3	8.639332871341018
A0A087WQ94	NA	NA	4	9.032446335081733
A0A087WQ94	NA	NA	5	9.182929720937105
A0A087WQ94	NA	NA	6	8.92465706205309
A0A087WQ94	NA	NA	7	9.592109008615552
A0A087WQ94	NA	NA	8	8.921420962066867
A0A087WQ94	NA	NA	9	9.217964322580785
A0A087WR50	Fn1	ENSMUSG00000026193	1	10.971847549595232
A0A087WR50	Fn1	ENSMUSG00000026193	2	11.156327839778788
A0A087WR50	Fn1	ENSMUSG00000026193	3	10.908881712714019
A0A087WR50	Fn1	ENSMUSG00000026193	4	10.990570027233987
A0A087WR50	Fn1	ENSMUSG00000026193	5	11.021718540598735
A0A087WR50	Fn1	ENSMUSG00000026193	6	11.068413422894215
A0A087WR50	Fn1	ENSMUSG00000026193	7	11.266398905065923
A0A087WR50	Fn1	ENSMUSG00000026193	8	11.529997917971915
A0A087WR50	Fn1	ENSMUSG00000026193	9	11.283171802834913
A0A087WS16	NA	NA	1	10.922269666965034
A0A087WS16	NA	NA	2	10.995758816082084
A0A087WS16	NA	NA	3	9.419670797871214
A0A087WS16	NA	NA	4	10.249576575151046
A0A087WS16	NA	NA	5	9.0467706027939645
A0A087WS16	NA	NA	6	8.682906563117042
A0A087WS16	NA	NA	7	9.729351084158294
A0A087WS16	NA	NA	8	9.39475448220598
A0A087WS16	NA	NA	9	10.240809042531765
A0A087WSP5	Stat1	ENSMUSG00000026104	1	10.911462838132941
A0A087WSP5	Stat1	ENSMUSG00000026104	2	10.453075103824853
A0A087WSP5	Stat1	ENSMUSG00000026104	3	10.166481483171347
A0A087WSP5	Stat1	ENSMUSG00000026104	4	10.419188850179287
A0A087WSP5	Stat1	ENSMUSG00000026104	5	10.124699183891282
A0A087WSP5	Stat1	ENSMUSG00000026104	6	10.814659434659472
A0A087WSP5	Stat1	ENSMUSG00000026104	7	10.31353588303018
A0A087WSP5	Stat1	ENSMUSG00000026104	8	10.862460074037905
A0A087WSP5	Stat1	ENSMUSG00000026104	9	10.816144389308084
A0A0A6YVS2	NA	NA	1	9.910074360104907
A0A0A6YVS2	NA	NA	2	10.098603899645278
A0A0A6YVS2	NA	NA	3	10.250701838742216
A0A0A6YVS2	NA	NA	4	10.113467108450163
A0A0A6YVS2	NA	NA	5	10.214893258204471
A0A0A6YVS2	NA	NA	6	10.075482617394929
A0A0A6YVS2	NA	NA	7	9.97882312127403
A0A0A6YVS2	NA	NA	8	9.807206745460812
A0A0A6YVS2	NA	NA	9	10.140218814317755
A0A0A6YW80	NA	NA	1	10.837606835123255
A0A0A6YW80	NA	NA	2	11.24083103312191
A0A0A6YW80	NA	NA	3	11.401245555443897
A0A0A6YW80	NA	NA	4	11.78015392570634
A0A0A6YW80	NA	NA	5	11.624626198697591
A0A0A6YW80	NA	NA	6	11.458762867265117
A0A0A6YW80	NA	NA	7	11.74593056076365
A0A0A6YW80	NA	NA	8	11.82801451613665
A0A0A6YW80	NA	NA	9	11.801236548648095
A0A0A6YXL6	Lrba	ENSMUSG00000028080	1	8.384285574829988
A0A0A6YXL6	Lrba	ENSMUSG00000028080	2	7.447725919177089
A0A0A6YXL6	Lrba	ENSMUSG00000028080	3	7.8161491262887
A0A0A6YXL6	Lrba	ENSMUSG00000028080	4	7.801458211295251
